day,week_day,day_type
20170101,7,放假假日
20170102,1,放假假日
20170103,2,上班日
20170104,3,上班日
20170105,4,上班日
20170106,5,上班日
20170107,6,未上班双休日
20170108,7,未上班双休日
20170109,1,上班日
20170110,2,上班日
20170111,3,上班日
20170112,4,上班日
20170113,5,上班日
20170114,6,未上班双休日
20170115,7,未上班双休日
20170116,1,上班日
20170117,2,上班日
20170118,3,上班日
20170119,4,上班日
20170120,5,上班日
20170121,6,未上班双休日
20170122,7,上班日
20170123,1,上班日
20170124,2,上班日
20170125,3,上班日
20170126,4,上班日
20170127,5,放假假日
20170128,6,放假假日
20170129,7,放假假日
20170130,1,放假假日
20170131,2,放假假日
20170201,3,上班日
20170202,4,上班日
20170203,5,上班日
20170204,6,上班日
20170205,7,未上班双休日
20170206,1,上班日
20170207,2,上班日
20170208,3,上班日
20170209,4,上班日
20170210,5,上班日
20170211,6,放假假日
20170212,7,未上班双休日
20170213,1,上班日
20170214,2,上班节假日
20170215,3,上班日
20170216,4,上班日
20170217,5,上班日
20170218,6,未上班双休日
20170219,7,未上班双休日
20170220,1,上班日
20170221,2,上班日
20170222,3,上班日
20170223,4,上班日
20170224,5,上班日
20170225,6,未上班双休日
20170226,7,未上班双休日
20170227,1,上班日
20170228,2,上班日
20170301,3,上班日
20170302,4,上班日
20170303,5,上班日
20170304,6,未上班双休日
20170305,7,未上班双休日
20170306,1,上班日
20170307,2,上班日
20170308,3,上班节假日
20170309,4,上班日
20170310,5,上班日
20170311,6,未上班双休日
20170312,7,未上班双休日
20170313,1,上班日
20170314,2,上班日
20170315,3,上班日
20170316,4,上班日
20170317,5,上班日
20170318,6,未上班双休日
20170319,7,未上班双休日
20170320,1,上班日
20170321,2,上班日
20170322,3,上班日
20170323,4,上班日
20170324,5,上班日
20170325,6,未上班双休日
20170326,7,未上班双休日
20170327,1,上班日
20170328,2,上班日
20170329,3,上班日
20170330,4,上班日
20170331,5,上班日
20170401,6,上班日
20170402,7,放假假日
20170403,1,放假假日
20170404,2,放假假日
20170405,3,上班日
20170406,4,上班日
20170407,5,上班日
20170408,6,未上班双休日
20170409,7,未上班双休日
20170410,1,上班日
20170411,2,上班日
20170412,3,上班日
20170413,4,上班日
20170414,5,上班日
20170415,6,未上班双休日
20170416,7,未上班双休日
20170417,1,上班日
20170418,2,上班日
20170419,3,上班日
20170420,4,上班日
20170421,5,上班日
20170422,6,未上班双休日
20170423,7,未上班双休日
20170424,1,上班日
20170425,2,上班日
20170426,3,上班日
20170427,4,上班日
20170428,5,上班日
20170429,6,放假假日
20170430,7,放假假日
20170501,1,放假假日
20170502,2,上班日
20170503,3,上班日
20170504,4,上班日
20170505,5,上班日
20170506,6,未上班双休日
20170507,7,未上班双休日
20170508,1,上班日
20170509,2,上班日
20170510,3,上班日
20170511,4,上班日
20170512,5,上班日
20170513,6,未上班双休日
20170514,7,放假假日
20170515,1,上班日
20170516,2,上班日
20170517,3,上班日
20170518,4,上班日
20170519,5,上班日
20170520,6,放假假日
20170521,7,未上班双休日
20170522,1,上班日
20170523,2,上班日
20170524,3,上班日
20170525,4,上班日
20170526,5,上班日
20170527,6,上班日
20170528,7,放假假日
20170529,1,放假假日
20170530,2,放假假日
20170531,3,上班日
20170601,4,上班节假日
20170602,5,上班日
20170603,6,未上班双休日
20170604,7,未上班双休日
20170605,1,上班日
20170606,2,上班日
20170607,3,上班日
20170608,4,上班日
20170609,5,上班日
20170610,6,未上班双休日
20170611,7,未上班双休日
20170612,1,上班日
20170613,2,上班日
20170614,3,上班日
20170615,4,上班日
20170616,5,上班日
20170617,6,未上班双休日
20170618,7,放假假日
20170619,1,上班日
20170620,2,上班日
20170621,3,上班日
20170622,4,上班日
20170623,5,上班日
20170624,6,未上班双休日
20170625,7,未上班双休日
20170626,1,上班日
20170627,2,上班日
20170628,3,上班日
20170629,4,上班日
20170630,5,上班日
20170701,6,未上班双休日
20170702,7,未上班双休日
20170703,1,上班日
20170704,2,上班日
20170705,3,上班日
20170706,4,上班日
20170707,5,上班日
20170708,6,未上班双休日
20170709,7,未上班双休日
20170710,1,上班日
20170711,2,上班日
20170712,3,上班日
20170713,4,上班日
20170714,5,上班日
20170715,6,未上班双休日
20170716,7,未上班双休日
20170717,1,上班日
20170718,2,上班日
20170719,3,上班日
20170720,4,上班日
20170721,5,上班日
20170722,6,未上班双休日
20170723,7,未上班双休日
20170724,1,上班日
20170725,2,上班日
20170726,3,上班日
20170727,4,上班日
20170728,5,上班日
20170729,6,未上班双休日
20170730,7,未上班双休日
20170731,1,上班日
20170801,2,上班日
20170802,3,上班日
20170803,4,上班日
20170804,5,上班日
20170805,6,未上班双休日
20170806,7,未上班双休日
20170807,1,上班日
20170808,2,上班日
20170809,3,上班日
20170810,4,上班日
20170811,5,上班日
20170812,6,未上班双休日
20170813,7,未上班双休日
20170814,1,上班日
20170815,2,上班日
20170816,3,上班日
20170817,4,上班日
20170818,5,上班日
20170819,6,未上班双休日
20170820,7,未上班双休日
20170821,1,上班日
20170822,2,上班日
20170823,3,上班日
20170824,4,上班日
20170825,5,上班日
20170826,6,未上班双休日
20170827,7,未上班双休日
20170828,1,上班节假日
20170829,2,上班日
20170830,3,上班日
20170831,4,上班日
20170901,5,上班日
20170902,6,未上班双休日
20170903,7,未上班双休日
20170904,1,上班日
20170905,2,上班日
20170906,3,上班日
20170907,4,上班日
20170908,5,上班日
20170909,6,未上班双休日
20170910,7,未上班双休日
20170911,1,上班日
20170912,2,上班日
20170913,3,上班日
20170914,4,上班日
20170915,5,上班日
20170916,6,未上班双休日
20170917,7,未上班双休日
20170918,1,上班日
20170919,2,上班日
20170920,3,上班日
20170921,4,上班日
20170922,5,上班日
20170923,6,未上班双休日
20170924,7,未上班双休日
20170925,1,上班日
20170926,2,上班日
20170927,3,上班日
20170928,4,上班日
20170929,5,上班日
20170930,6,上班日
20171001,7,放假假日
20171002,1,放假假日
20171003,2,放假假日
20171004,3,放假假日
20171005,4,放假假日
20171006,5,放假假日
20171007,6,放假假日
20171008,7,放假假日
20171009,1,上班日
20171010,2,上班日
20171011,3,上班日
20171012,4,上班日
20171013,5,上班日
20171014,6,未上班双休日
20171015,7,未上班双休日
20171016,1,上班日
20171017,2,上班日
20171018,3,上班日
20171019,4,上班日
20171020,5,上班日
20171021,6,未上班双休日
20171022,7,未上班双休日
20171023,1,上班日
20171024,2,上班日
20171025,3,上班日
20171026,4,上班日
20171027,5,上班日
20171028,6,放假假日
20171029,7,未上班双休日
20171030,1,上班日
20171031,2,上班日
20171101,3,上班日
20171102,4,上班日
20171103,5,上班日
20171104,6,未上班双休日
20171105,7,未上班双休日
20171106,1,上班日
20171107,2,上班日
20171108,3,上班日
20171109,4,上班日
20171110,5,上班日
20171111,6,未上班双休日
20171112,7,未上班双休日
20171113,1,上班日
20171114,2,上班日
20171115,3,上班日
20171116,4,上班日
20171117,5,上班日
20171118,6,未上班双休日
20171119,7,未上班双休日
20171120,1,上班日
20171121,2,上班日
20171122,3,上班日
20171123,4,上班节假日
20171124,5,上班日
20171125,6,未上班双休日
20171126,7,未上班双休日
20171127,1,上班日
20171128,2,上班日
20171129,3,上班日
20171130,4,上班日
20171201,5,上班日
20171202,6,未上班双休日
20171203,7,未上班双休日
20171204,1,上班日
20171205,2,上班日
20171206,3,上班日
20171207,4,上班日
20171208,5,上班日
20171209,6,未上班双休日
20171210,7,未上班双休日
20171211,1,上班日
20171212,2,上班日
20171213,3,上班日
20171214,4,上班日
20171215,5,上班日
20171216,6,未上班双休日
20171217,7,未上班双休日
20171218,1,上班日
20171219,2,上班日
20171220,3,上班日
20171221,4,上班日
20171222,5,上班日
20171223,6,未上班双休日
20171224,7,放假假日
20171225,1,上班节假日
20171226,2,上班日
20171227,3,上班日
20171228,4,上班日
20171229,5,上班日
20171230,6,放假假日
20171231,7,放假假日
20180101,1,放假假日
20180102,2,上班日
20180103,3,上班日
20180104,4,上班日
20180105,5,上班日
20180106,6,未上班双休日
20180107,7,未上班双休日
20180108,1,上班日
20180109,2,上班日
20180110,3,上班日
20180111,4,上班日
20180112,5,上班日
20180113,6,未上班双休日
20180114,7,未上班双休日
20180115,1,上班日
20180116,2,上班日
20180117,3,上班日
20180118,4,上班日
20180119,5,上班日
20180120,6,未上班双休日
20180121,7,未上班双休日
20180122,1,上班日
20180123,2,上班日
20180124,3,上班节假日
20180125,4,上班日
20180126,5,上班日
20180127,6,未上班双休日
20180128,7,未上班双休日
20180129,1,上班日
20180130,2,上班日
20180131,3,上班日
20180201,4,上班日
20180202,5,上班日
20180203,6,未上班双休日
20180204,7,未上班双休日
20180205,1,上班日
20180206,2,上班日
20180207,3,上班日
20180208,4,上班日
20180209,5,上班日
20180210,6,未上班双休日
20180211,7,上班日
20180212,1,上班日
20180213,2,上班日
20180214,3,上班节假日
20180215,4,放假假日
20180216,5,放假假日
20180217,6,放假假日
20180218,7,放假假日
20180219,1,放假假日
20180220,2,放假假日
20180221,3,放假假日
20180222,4,上班日
20180223,5,上班日
20180224,6,上班日
20180225,7,未上班双休日
20180226,1,上班日
20180227,2,上班日
20180228,3,上班日
20180301,4,上班日
20180302,5,上班节假日
20180303,6,未上班双休日
20180304,7,未上班双休日
20180305,1,上班日
20180306,2,上班日
20180307,3,上班日
20180308,4,上班节假日
20180309,5,上班日
20180310,6,未上班双休日
20180311,7,未上班双休日
20180312,1,上班日
20180313,2,上班日
20180314,3,上班日
20180315,4,上班日
20180316,5,上班日
20180317,6,未上班双休日
20180318,7,未上班双休日
20180319,1,上班日
20180320,2,上班日
20180321,3,上班日
20180322,4,上班日
20180323,5,上班日
20180324,6,未上班双休日
20180325,7,未上班双休日
20180326,1,上班日
20180327,2,上班日
20180328,3,上班日
20180329,4,上班日
20180330,5,上班日
20180331,6,未上班双休日
20180401,7,未上班双休日
20180402,1,上班日
20180403,2,上班日
20180404,3,上班日
20180405,4,放假假日
20180406,5,放假假日
20180407,6,放假假日
20180408,7,上班日
20180409,1,上班日
20180410,2,上班日
20180411,3,上班日
20180412,4,上班日
20180413,5,上班日
20180414,6,未上班双休日
20180415,7,未上班双休日
20180416,1,上班日
20180417,2,上班日
20180418,3,上班日
20180419,4,上班日
20180420,5,上班日
20180421,6,未上班双休日
20180422,7,未上班双休日
20180423,1,上班日
20180424,2,上班日
20180425,3,上班日
20180426,4,上班日
20180427,5,上班日
20180428,6,上班日
20180429,7,放假假日
20180430,1,放假假日
20180501,2,放假假日
20180502,3,上班日
20180503,4,上班日
20180504,5,上班日
20180505,6,未上班双休日
20180506,7,未上班双休日
20180507,1,上班日
20180508,2,上班日
20180509,3,上班日
20180510,4,上班日
20180511,5,上班日
20180512,6,未上班双休日
20180513,7,放假假日
