day,lunar_day_name,lunar_day,week_day,week_day_name,day_type,day_type_id
20170101,十二月初四,1204,7,星期天,节假日,1
20170102,十二月初五,1205,1,星期一,节假日,1
20170103,十二月初六,1206,2,星期二,工作日,2
20170104,十二月初七,1207,3,星期三,工作日,2
20170105,十二月初八,1208,4,星期四,工作日,2
20170106,十二月初九,1209,5,星期五,工作日,2
20170107,十二月初十,1210,6,星期六,双休日,3
20170108,十二月十一日,1211,7,星期天,双休日,3
20170109,十二月十二日,1212,1,星期一,工作日,2
20170110,十二月十三日,1213,2,星期二,工作日,2
20170111,十二月十四日,1214,3,星期三,工作日,2
20170112,十二月十五日,1215,4,星期四,工作日,2
20170113,十二月十六日,1216,5,星期五,工作日,2
20170114,十二月十七日,1217,6,星期六,双休日,3
20170115,十二月十八日,1218,7,星期天,双休日,3
20170116,十二月十九日,1219,1,星期一,工作日,2
20170117,十二月二十日,1220,2,星期二,工作日,2
20170118,十二月廿一日,1221,3,星期三,工作日,2
20170119,十二月廿二日,1222,4,星期四,工作日,2
20170120,十二月廿三日,1223,5,星期五,工作日,2
20170121,十二月廿四日,1224,6,星期六,双休日,3
20170122,十二月廿五日,1225,7,星期天,工作日,2
20170123,十二月廿六日,1226,1,星期一,工作日,2
20170124,十二月廿七日,1227,2,星期二,工作日,2
20170125,十二月廿八日,1228,3,星期三,工作日,2
20170126,十二月廿九日,1229,4,星期四,工作日,2
20170127,十二月三十日,1230,5,星期五,节假日,1
20170128,正月初一,0101,6,星期六,节假日,1
20170129,正月初二,0102,7,星期天,节假日,1
20170130,正月初三,0103,1,星期一,节假日,1
20170131,正月初四,0104,2,星期二,节假日,1
20170201,正月初五,0105,3,星期三,工作日,2
20170202,正月初六,0106,4,星期四,工作日,2
20170203,正月初七,0107,5,星期五,工作日,2
20170204,正月初八,0108,6,星期六,工作日,2
20170205,正月初九,0109,7,星期天,双休日,3
20170206,正月初十,0110,1,星期一,工作日,2
20170207,正月十一日,0111,2,星期二,工作日,2
20170208,正月十二日,0112,3,星期三,工作日,2
20170209,正月十三日,0113,4,星期四,工作日,2
20170210,正月十四日,0114,5,星期五,工作日,2
20170211,正月十五日,0115,6,星期六,节假日,1
20170212,正月十六日,0116,7,星期天,双休日,3
20170213,正月十七日,0117,1,星期一,工作日,2
20170214,正月十八日,0118,2,星期二,工作日(节日),4
20170215,正月十九日,0119,3,星期三,工作日,2
20170216,正月二十日,0120,4,星期四,工作日,2
20170217,正月廿一日,0121,5,星期五,工作日,2
20170218,正月廿二日,0122,6,星期六,双休日,3
20170219,正月廿三日,0123,7,星期天,双休日,3
20170220,正月廿四日,0124,1,星期一,工作日,2
20170221,正月廿五日,0125,2,星期二,工作日,2
20170222,正月廿六日,0126,3,星期三,工作日,2
20170223,正月廿七日,0127,4,星期四,工作日,2
20170224,正月廿八日,0128,5,星期五,工作日,2
20170225,正月廿九日,0129,6,星期六,双休日,3
20170226,二月初一,0201,7,星期天,双休日,3
20170227,二月初二,0202,1,星期一,工作日,2
20170228,二月初三,0203,2,星期二,工作日,2
20170301,二月初四,0204,3,星期三,工作日,2
20170302,二月初五,0205,4,星期四,工作日,2
20170303,二月初六,0206,5,星期五,工作日,2
20170304,二月初七,0207,6,星期六,双休日,3
20170305,二月初八,0208,7,星期天,双休日,3
20170306,二月初九,0209,1,星期一,工作日,2
20170307,二月初十,0210,2,星期二,工作日,2
20170308,二月十一日,0211,3,星期三,工作日(节日),4
20170309,二月十二日,0212,4,星期四,工作日,2
20170310,二月十三日,0213,5,星期五,工作日,2
20170311,二月十四日,0214,6,星期六,双休日,3
20170312,二月十五日,0215,7,星期天,双休日,3
20170313,二月十六日,0216,1,星期一,工作日,2
20170314,二月十七日,0217,2,星期二,工作日,2
20170315,二月十八日,0218,3,星期三,工作日,2
20170316,二月十九日,0219,4,星期四,工作日,2
20170317,二月二十日,0220,5,星期五,工作日,2
20170318,二月廿一日,0221,6,星期六,双休日,3
20170319,二月廿二日,0222,7,星期天,双休日,3
20170320,二月廿三日,0223,1,星期一,工作日,2
20170321,二月廿四日,0224,2,星期二,工作日,2
20170322,二月廿五日,0225,3,星期三,工作日,2
20170323,二月廿六日,0226,4,星期四,工作日,2
20170324,二月廿七日,0227,5,星期五,工作日,2
20170325,二月廿八日,0228,6,星期六,双休日,3
20170326,二月廿九日,0229,7,星期天,双休日,3
20170327,二月三十日,0230,1,星期一,工作日,2
20170328,三月初一,0301,2,星期二,工作日,2
20170329,三月初二,0302,3,星期三,工作日,2
20170330,三月初三,0303,4,星期四,工作日,2
20170331,三月初四,0304,5,星期五,工作日,2
20170401,三月初五,0305,6,星期六,工作日,2
20170402,三月初六,0306,7,星期天,节假日,1
20170403,三月初七,0307,1,星期一,节假日,1
20170404,三月初八,0308,2,星期二,节假日,1
20170405,三月初九,0309,3,星期三,工作日,2
20170406,三月初十,0310,4,星期四,工作日,2
20170407,三月十一日,0311,5,星期五,工作日,2
20170408,三月十二日,0312,6,星期六,双休日,3
20170409,三月十三日,0313,7,星期天,双休日,3
20170410,三月十四日,0314,1,星期一,工作日,2
20170411,三月十五日,0315,2,星期二,工作日,2
20170412,三月十六日,0316,3,星期三,工作日,2
20170413,三月十七日,0317,4,星期四,工作日,2
20170414,三月十八日,0318,5,星期五,工作日,2
20170415,三月十九日,0319,6,星期六,双休日,3
20170416,三月二十日,0320,7,星期天,双休日,3
20170417,三月廿一日,0321,1,星期一,工作日,2
20170418,三月廿二日,0322,2,星期二,工作日,2
20170419,三月廿三日,0323,3,星期三,工作日,2
20170420,三月廿四日,0324,4,星期四,工作日,2
20170421,三月廿五日,0325,5,星期五,工作日,2
20170422,三月廿六日,0326,6,星期六,双休日,3
20170423,三月廿七日,0327,7,星期天,双休日,3
20170424,三月廿八日,0328,1,星期一,工作日,2
20170425,三月廿九日,0329,2,星期二,工作日,2
20170426,四月初一,0401,3,星期三,工作日,2
20170427,四月初二,0402,4,星期四,工作日,2
20170428,四月初三,0403,5,星期五,工作日,2
20170429,四月初四,0404,6,星期六,节假日,1
20170430,四月初五,0405,7,星期天,节假日,1
20170501,四月初六,0406,1,星期一,节假日,1
20170502,四月初七,0407,2,星期二,工作日,2
20170503,四月初八,0408,3,星期三,工作日,2
20170504,四月初九,0409,4,星期四,工作日,2
20170505,四月初十,0410,5,星期五,工作日,2
20170506,四月十一日,0411,6,星期六,双休日,3
20170507,四月十二日,0412,7,星期天,双休日,3
20170508,四月十三日,0413,1,星期一,工作日,2
20170509,四月十四日,0414,2,星期二,工作日,2
20170510,四月十五日,0415,3,星期三,工作日,2
20170511,四月十六日,0416,4,星期四,工作日,2
20170512,四月十七日,0417,5,星期五,工作日,2
20170513,四月十八日,0418,6,星期六,双休日,3
20170514,四月十九日,0419,7,星期天,节假日,1
20170515,四月二十日,0420,1,星期一,工作日,2
20170516,四月廿一日,0421,2,星期二,工作日,2
20170517,四月廿二日,0422,3,星期三,工作日,2
20170518,四月廿三日,0423,4,星期四,工作日,2
20170519,四月廿四日,0424,5,星期五,工作日,2
20170520,四月廿五日,0425,6,星期六,节假日,1
20170521,四月廿六日,0426,7,星期天,双休日,3
20170522,四月廿七日,0427,1,星期一,工作日,2
20170523,四月廿八日,0428,2,星期二,工作日,2
20170524,四月廿九日,0429,3,星期三,工作日,2
20170525,四月三十日,0430,4,星期四,工作日,2
