current	next	wind	temp	tianqi	紫外线指数	旅游指数	穿衣指数	晾晒指数	舒适度指数	晨练指数
20190501	20190502	东北风 5级 	"['21℃', '15℃']"	多云	很弱	较适宜	较舒适	适宜	较舒适	较适宜
20190502	20190503	东北风 2级 	"['23℃', '13℃']"	多云	很弱	较适宜	较冷	不适宜	较冷	较不宜
20190503	20190504	东北风 2级 	"['21℃', '14℃']"	阴	弱	适宜	较舒适	适宜	较舒适	适宜
20190504	20190505	东北风 1级 	"['26℃', '16℃']"	阴	很弱	较适宜	较冷	不适宜	较冷	较不宜
20190505	20190506	东南风 2级 	"['26℃', '11℃']"	阴	很弱	不适宜	较冷	不适宜	较冷	较不宜
20190506	20190507	东北风 2级 	"['15℃', '9℃']"	阴	很弱	不适宜	较冷	不适宜	较冷	较不宜
20190507	20190508	东北风 2级 	"['14℃', '10℃']"	阴	很弱	较不适宜	较冷	适宜	较冷	较适宜
20190508	20190509	西北风 2级 	"['22℃', '12℃']"	阴	中等	适宜	较舒适	适宜	较舒适	适宜
20190509	20190510	西南风 2级 	"['24℃', '10℃']"	阴	弱	适宜	较舒适	适宜	较舒适	适宜
20190510	20190511	西南风 2级 	"['27℃', '15℃']"	阴	很弱	不适宜	较舒适	适宜	较舒适	适宜
20190511	20190512	西南风 1级 	"['30℃', '13℃']"	阴	很弱	较适宜	较冷	较不宜	较冷	较适宜
20190512	20190513	西南风 2级 	"['22℃', '14℃']"	霾	很弱	不适宜	较舒适	较不宜	较舒适	较适宜
20190513		西南风 2级 	"['25℃', '12℃']"	阴	很弱	不适宜	舒适	较不宜	舒适	较适宜
20190514				多云						
20190515				多云						
20190516				多云						
20190517				阴						
20190518				小雨						
20190519				阴						
20190520				多云						
