current	next	wind	temp	tianqi	紫外线指数	旅游指数	穿衣指数	晾晒指数	舒适度指数	晨练指数
20170101	20170102	西南风 2级	"['7℃', '1℃']"	霾	很弱	不适宜	较冷	不适宜	较冷	不宜
20170102	20170103	东南风 1级	"['8℃', '1℃']"	霾	很弱	适宜	较冷	较适宜	较冷	适宜
20170103	20170104	东北风 1级	"['8℃', '0℃']"	霾	很弱	适宜	较冷	较不宜	较冷	较适宜
20170104	20170105	东北风 1级	"['9℃', '3℃']"	霾	很弱	适宜	冷	不适宜	较舒适	较不宜
20170105	20170106	东北风 2级	"['6℃', '4℃']"	小雨	很弱	适宜	冷	不适宜	较舒适	较不宜
20170106	20170107	西风 1级	"['5℃', '2℃']"	小雨	很弱	适宜	冷	较适宜	较舒适	较不宜
20170107	20170108	南风 1级	"['6℃', '-1℃']"	阴	很弱	适宜	冷	较适宜	较舒适	适宜
20170108	20170109	西北风 1级	"['6℃', '-1℃']"	多云	很弱	适宜	冷	较适宜	较舒适	适宜
20170109	20170110	西北风 2级	"['5℃', '0℃']"	阴	很弱	适宜	冷	较不宜	较舒适	较适宜
20170110	20170111	西风 3级	"['4℃', '0℃']"	阴	很弱	适宜	冷	较适宜	较舒适	适宜
20170111	20170112	西南风 2级	"['7℃', '-2℃']"	多云	中等	适宜	较冷	较适宜	较冷	适宜
20170112	20170113	西南风 2级	"['8℃', '-2℃']"	晴	中等	适宜	较冷	较适宜	较冷	适宜
20170113	20170114	北风 1级	"['8℃', '-2℃']"	晴	很弱	适宜	较冷	较适宜	较冷	适宜
20170114	20170115	北风 2级	"['7℃', '-1℃']"	多云	很弱	适宜	冷	较适宜	较舒适	适宜
20170115	20170116	南风 1级	"['5℃', '-1℃']"	霾	很弱	不适宜	冷	不适宜	较舒适	不宜
20170116	20170117	东北风 2级	"['4℃', '-2℃']"	霾	很弱	不适宜	冷	不适宜	较舒适	不宜
20170117	20170118	东北风 2级	"['5℃', '-1℃']"	霾	很弱	不适宜	冷	不适宜	较舒适	不宜
20170118	20170119	西北风 1级	"['5℃', '-3℃']"	阴	弱	适宜	冷	较适宜	较舒适	适宜
20170119	20170120	东风 2级	"['4℃', '-5℃']"	晴	很弱	较适宜	冷	较适宜	较舒适	适宜
20170120	20170121	西风 2级	"['3℃', '-3℃']"	多云	中等	较适宜	较冷	较适宜	较冷	适宜
20170121	20170122	东北风 2级	"['7℃', '-1℃']"	晴	中等	适宜	较冷	较适宜	较冷	适宜
20170122	20170123	东风 2级	"['8℃', '-1℃']"	晴	中等	适宜	较冷	较适宜	较冷	适宜
20170123	20170124	西北风 1级	"['8℃', '-2℃']"	多云	很弱	适宜	冷	较不宜	较舒适	较适宜
20170124	20170125	西北风 1级	"['8℃', '-1℃']"	阴	很弱	适宜	较冷	较适宜	较冷	适宜
20170125	20170126	西风 1级	"['9℃', '1℃']"	多云	很弱	适宜	冷	较适宜	较舒适	适宜
