user,star,eval,content,votes,date
刘康康,2015-04-15,一开始是《辛德勒的名单》，中间是《色戒》，后半部分是《西西里美丽传说》，最后是《名侦探柯南》#好像混进来奇怪的东西了#,还行,3,264
咱说,2009-05-17,中国几时能拍出这样不虚伪地反思二战的作品呢，我爱上这个女人了了了。,力荐,5,252
bba,2009-03-09,"每10分钟剧情就来一次大转变,这比较强",力荐,5,238
战国客,2009-01-21,没法不联想到色戒，不过这部是彻头彻尾的情节片，没在文艺上纠缠。另外，女主角很好看，不单单是相貌上的~~,推荐,4,169
安东妮,2009-02-10,多浅一电影，要心理没心理要细节没细节。豆瓣的评论和电影一样二,较差,2,165
boks,2009-01-08,长篇小说的质感，真是一波三折、令人唏嘘,力荐,5,170
左思,2008-06-20,2008-6-19看毕，非常的经典，比色戒强很多倍,未打星,-1,113
大xu,2009-12-14,实际上，所有人都憎恶战争，除了旁观者,推荐,4,121
Doublebitch,2011-11-16,正与邪，善与恶，在战争的大背景下全部模糊，战争中从来没有好人与坏人，只有强者和弱者,力荐,5,80
satan,2008-06-15,我就想推荐大家看看主角穿红裙戴红花唱歌那一段。,推荐,4,75
托尼·王大拿,2012-05-29,即便是讲述一个发生在二战时期充满阴谋与复仇的故事，范霍文的片子里也少不了情色与杀戮，然而他将这些元素作为陪衬，打造出一部环环相扣伏线千里的大戏；某种意义上本片有点像荷兰版色戒，但个中曲折更加虐心，几乎可称做女主角一个人的史诗；结局隐晦地点到巴以冲突让这个光明的结局又蒙上一层灰尘,推荐,4,36
Lan~die,2009-12-29,绝代尤物。“风声过后，世间再无传奇”用在这里才合适。那句与其选择子弹不如投降恐怕会是大多数人的选择。,推荐,4,56
安娜·艾玛莉,2012-09-26,所有打三分以下的都是看的删减版嘛？其实是多美好的片！！！女主与德军上尉第一次的时候眼睛好漂亮>///<上尉大好人我的菜！。。结局在半途有点眉目，但合情合理的伏笔和对小角色剧情的适当渲染是成就了一个还算出乎意料的结局。。Carice演女主好不容易的！别再说她胸部小了其实很漂亮Q_Q,力荐,5,37
UrthónaD'Mors,2009-04-11,有些地方看到了文革的影子,还行,3,75
易老邪,2016-06-01,精彩淋漓的佳作。本片开局平平，但随着故事的展开变得越来越是精彩，剧情一波三折、峰回路转、起伏跌宕、高潮迭起，如倒食甘蔗、渐入佳境。叙事更是干净利落，绝不拖泥带水。且始终扣人心弦、引人入胜。结尾一切复归于平静，令人不胜唏嘘感慨。正是：来如雷霆收震怒，罢如江海凝清光。4星半，强力推荐,力荐,5,34
